Categories ,Description & Requirements (Who we are & Job Summary),Job Summary,Key Responsibilities of the Job:,"Job Requirements: (Eligibility, Availability, Skills and Experiences;)",Preferred but  not essential,Benefits and Perks
,"We are an innovative performance apparel company for yoga, running, training, and other athletic pursuits.",The Educator role is the foundation of our success as an organization.,Interact with guests to ensure a great guest experience in a manner that values guests’ time.,Must be legally authorized to work in the country in which the store is located.,"Preferably, a high school diploma, GED, or equivalent is preferred.","We care for and invest in the whole person – body, mind, spirit. Our total rewards program is designed to support you in achieving your goals and focus on the things you love."
,"As a company, we focus on creating positive change to build a healthier, thriving future. In particular, that includes creating an equitable, inclusive and growth-focused environment for our people.","Educators are experts in creating world-class customer service, or guest experience, in our retail stores.","Assess guests’ needs to provide customized, effective purchase and return solutions and support.",Must be 18 years of age or older.,Prior success in user value/lifetime value enhancement or user acquisition strategy is highly preferred.,"In addition to competitive base pay and a team-based bonus program, we also offer extended health plans, paid time off, savings plans, generous employee discounts, fitness/yoga classes, parenthood top-up program, and personal and professional development programs."
,We are responsible for driving the brand image and product understanding on their campus and in their region.,"Live and breathe the brand personality traits and company values, representing the brand in a premium way through everyday interactions with consumers or customers.",Build relationships with local sales account managers and ensure Red Bull is available and visible in outlet.,Must have proof of the Right to Work and evidence relating to associated local legislative requirements (EMEA only).,"Ideally, experience working within E-commerce, Technology, Social Media, or related industries is desirable.",We recognise the value that comes from having a highly diverse workforce that has the freedom and responsibility to realise their ideas and seize opportunities.
,"The goal of the Student Marketeer program is to reach new consumers, excite university students, increase sales and manage the brand at their campus.",Grow the user base by inviting positive trial and awareness of Red Bull through product sampling to consumers at the right place and right time - competently answering any questions from consumers.,Plan & report your activities via the dedicated online platform in a timely manner and with accuracy.,Must have the ability to travel to assigned store with own transportation methods.,"Previous internship in a well-known selective non-tech company, such as a tier-1 strategy consultancy (McKinsey, BCG, Bain) or investment bank/private equity firm is preferred.","Salary: up to £88,000 dependent on experience, plus bonus and other benefits."
,"Location: London, Manchester, Glasgow (hybrid working arrangements, typically 2-4 days per month in the office).",Exciting opportunity for an AI Regulation & Governance Consultant!,"Developing frameworks and the business process for governing AI safely, fairly, and ethically.","Willing to work a flexible schedule including evenings, weekends, and holidays.","Preferably, a school/university Olympiad medal in competition for physics, maths, programming, etc. is valued.",Fantastic offices.
,Employment Type: Permanent.,"Join a top-tier consultancy that we are supporting to lead trusted AI initiatives with a focus on safety, transparency, fairness, and ethics.",Establishing the governance required throughout the AI development lifecycle from concept to live.,Willing to work in an environment with bright lights and loud music.,"Knowledge of the retail banking industry (e.g., via consulting) is preferred.","Regular nights out in a social, welcoming culture."
,An award winning talent consultancy named a best 100 company to work for is hiring an entry level recruitment consultant!,Use strong communication skills to engage with key players.,Identify client needs and how to solve them with valuable advice.,Willing to move through a store for most of a shift to help guests and accomplish work.,"Preferably, experience working with world-class multi-disciplinary teams, including both scientists and engineers (e.g., in a top-3 lab) is valued.","Our fantastic benefits package includes opportunities for continuous learning, a generous annual leave entitlement, flexible working to help you maintain a healthy work-life balance, an Employee Assistance Programme, and other wellbeing support such as a cycle to work scheme and discounted gym membership."
,"We are committed to promoting equality, diversity and inclusion. We encourage and welcome applications from all, irrespective of background or circumstance.",Research and act upon potential valuable opportunities.,Conduct informational calls with clients.,Willing to move boxes weighing up to 30 lbs (13.6 kg).,Acting as a bar raiser for interviews is highly desirable.,"A culture of flexible working, such as job sharing, homeworking, and compressed hours."
,"Join us and be part of something bigger. From global health to climate change, AI to business leadership, here at Imperial we navigate some of the world’s toughest challenges.",We are seeking an enthusiastic Senior Teaching Fellow in Economics committed to delivering excellent education to diverse cohorts of students.,"You will be expected to regularly review your practice to keep it up to date with education pedagogy and to meet the changing needs of students, programme teams and the Business School.",Willing to work as part of a team and also complete some work independently.,"A positive, upbeat personality and excellent interpersonal communication skills are preferred.","Automatic enrolment into the Civil Service Pension Scheme, with an average employer contribution of 27%."
,You can read more about our commitment on our website.,"As a community, we are focused on enhancing economics education and the experience of students and look forward to welcoming a new colleague eager to contribute to our collaborative Department and School.","As a member of our collaborative community, we expect you to engage with our education strategy and help us enhance the experience of all our students.",Studying at University within the city specified.,Discretion combined with poise and professionalism in all communications is highly valued.,"A minimum of 25 days of paid annual leave, increasing by 1 day per year up to a maximum of 30."
,We are delighted to be working with one of the UK’s leading professional services companies.,"Are you a passionate and well-organized early careers recruitment professional at the early stages of their career who is keen to expand their early careers knowledge and responsibilities? If so, this role might be the one for you.","Working closely with the HR team, business leaders, and other key stakeholders, you’ll have a crucial role in identifying and nurturing future talent that will empower the company to thrive and diversify its workforce across all functions.","As a requirement, all candidates must be SC eligible and (sponsorship cannot be supplied).","Experience working with highly confidential information and the ability to exercise exceptional judgment regarding information that may be confidential or material, non-public is preferred.","An extensive range of learning & professional development opportunities, which all staff are actively encouraged to pursue."
,"This role is based in central London and operates on a hybrid model, with three days in the office and two days working from home.","You will play a pivotal role in leading their small yet expanding early careers programme, overseeing graduate programmes, apprenticeship schemes, and internships.",Strategically analysing how previous programmes have performed looking for ways to improve and develop such programmes.,"Currently working in a major Consulting firm, and/or in industry but having a Consulting background. Proven ability to be successful in a matrixed organisation, and to enlist support and commitment from peers in selling and delivering consulting solutions.","Ideally, highly advanced MS Office skills and technological savvy (Word, Outlook, Excel, PowerPoint, and MS Teams) are desirable.","Access to a range of retail, travel, and lifestyle employee discounts."
,The company is the leading destination for short-form mobile video.,"Our London-based team is integral to the eCommerce success, collaborating closely with Creators, Merchants, and Agencies.","Strategic Leadership: Drive strategic initiatives for User Growth (UG), working collaboratively with cross-functional teams to achieve shared goals.","Technical: Extensive expertise in strategy, data/AI governance and AI/machine learning. Proficient understanding of AI, machine learning algorithms, data science concepts, and their applications in business. Proficiency in creating technical documents such as policy drafts, guidelines, and compliance reports.",Strong presentation and slide development skills (PPT) are highly preferred.,"The Department operates a discretionary hybrid working policy, which provides for a combination of working hours from your place of work and from your home in the UK. The current expectation for staff is to attend the office or non-home based location for 40-60% of the time over the accounting period."
,Our mission is to inspire creativity and bring joy.,"The role of Project Manager - Customer Experience Board would provide Project support, delivering technology projects to a diverse and challenging customer base.","Visionary Ownership: Take full ownership of the strategy from conception to execution, continuously seeking innovative solutions and improvements to.",Highly self-motivated.,The ability to connect dots to “see the big picture” is highly desirable.,"Excellent career progression – access to courses, webinars, workshops, and the opportunity to work in different areas of the organisation."
,"We are working to end the unprecedented extinction crisis and to help create a world where nature is protected, valued by all and managed sustainably.","This will be achieved by managing multiple projects, working closely with the IT team and stakeholders who require services, new or old, to be delivered in a timely fashion.","Collaborating with various teams and exploring diverse areas within marketing, branding, media buying, events, and partnerships.",You will have a PhD in an economics subject (or equivalent experience).,An understanding of how to leverage a busy executive's time and a willingness to do what it takes to contribute to their success and the success of the company is preferred.,"A defined pension scheme and discounted dental, health care, gym, and much more."
,Our mission is to understand and protect plants and fungi for the well-being of people and the future of all life on Earth.,We’re looking for the brightest marketing rising stars to join our Graduates Pathway as Marketing Managers.,Gaining insights into performance measurement by learning how to monitor and interpret KPIs.,"The ideal candidate will bring their experience from in-house early careers platforms, looking to broaden their early careers recruitment exposure and responsibility.","The ability to operate effectively and efficiently in a challenging, fast-paced environment with little supervision is highly valued.",Industry-leading training.
